Model,Fitted T,ECE raw,ECE cal.,NLL,Brier,Test mf{}
AquaNet-no-neck,\textbf{1.098},\textbf{.0397},.0304,.3259,.1431,.8701
Swin-T,2.300,.0528,\textbf{.0301},.3507,.1217,.9053
DenseNet-121,1.591,.0605,.0345,.4006,.1540,.8751
ConvNeXt-T,1.987,.0608,.0322,.3800,.1428,.8851
DeiT-S,1.863,.0621,.0328,.3815,.1451,.8871
ResNet-50,1.836,.0642,.0428,.4405,.1569,.8798
AquaNet-hier,1.619,.0692,.0328,.3581,.1601,.8716
AquaNet-full,1.640,.0700,.0374,.3968,.1736,.8661
EfficientNet-B0,2.753,.0763,.0324,.6074,.1720,.8668
MobileNetV2,2.390,.0879,.0387,.5631,.1927,.8425
