Model,Trials,LR,Backbone times,Best val mf{},Worst val mf{},Spread
ResNet-50,6,$0.001$,$1$,.9130,.7230,\textbf{.1901}
ConvNeXt-T,6,$0.0003$,$0.1$,.9257,.7622,.1636
Swin-T,6,$0.0001$,$1$,.9224,.8096,.1128
DenseNet-121,6,$0.0003$,$1$,.9077,.8142,.0935
DeiT-S,6,$0.001$,$0.1$,.9298,.8462,.0836
EfficientNet-B0,6,$0.0003$,$1$,.8963,.8221,.0742
MobileNetV2,6,$0.001$,$0.1$,.9097,.8443,.0653
AquaNet-no-neck,6,$0.0001$,$1$,.8968,.8491,.0477
AquaNet-hier,6,$0.001$,$1$,.9097,.8700,.0396
AquaNet-full,6,$0.001$,$1$,.9020,.8696,.0324
