Model,Params (M),Val mf{},Test acc. pm sd,Test mf{} pm sd
Swin-T,27.52,.9164,.9283 $\pm$ .0082,\textbf{.9053 $\pm$ .0094}
DeiT-S,21.67,.9160,.9162 $\pm$ .0053,.8871 $\pm$ .0077
ConvNeXt-T,27.83,.9132,.9162 $\pm$ .0071,.8851 $\pm$ .0102
ResNet-50,23.52,.9069,.9087 $\pm$ .0125,.8798 $\pm$ .0152
DenseNet-121,6.96,.9009,.9063 $\pm$ .0116,.8751 $\pm$ .0140
AquaNet-hier,10.50,.9020,.9040 $\pm$ .0094,.8716 $\pm$ .0127
AquaNet-no-neck,7.61,.8996,.9030 $\pm$ .0069,.8701 $\pm$ .0069
EfficientNet-B0,4.02,.8925,.8965 $\pm$ .0061,.8668 $\pm$ .0072
AquaNet-full,10.53,.8998,.8979 $\pm$ .0129,.8661 $\pm$ .0165
MobileNetV2,2.23,.8849,.8815 $\pm$ .0159,.8425 $\pm$ .0205
