Model,jpeg,blur,motion blur,brightness,contrast,gauss noise,color temp,downscale,occlusion,Mean
Swin-T,.042,.031,.010,.056,.033,.028,.097,.018,.034,.039
DeiT-S,.028,.018,.004,.047,.021,.015,.046,.008,.042,\textbf{.026}
ConvNeXt-T,.025,.030,.007,.059,.042,.020,.034,.020,.046,.031
ResNet-50,.030,.070,.020,.089,.083,.041,.131,.042,.067,.064
DenseNet-121,.024,.048,.007,.071,.061,.032,.101,.026,.067,.049
AquaNet-hier,.019,.094,.021,.126,.126,.038,.162,.054,.119,.084
AquaNet-no-neck,.025,.045,.013,.051,.042,.088,.072,.024,.071,.048
EfficientNet-B0,.051,.049,.008,.040,.092,.071,.057,.030,.059,.051
AquaNet-full,.023,.086,.020,.131,.115,.036,.145,.052,.122,.081
MobileNetV2,.037,.067,.016,.085,.105,.137,.083,.038,.040,.068
